PC1,PC2,Classes
-47.68038196481604,3.4129887174262796,not fire
-47.904491128923326,-0.07924817684984607,not fire
-53.700247348005334,-26.599476505644432,not fire
-57.76328140195894,-41.62135044324007,not fire
-43.17019119673067,-13.899485881993844,not fire
-30.310038464007768,3.0475928548963735,fire
-18.036240943466314,16.05914859706943,fire
-11.677184063661462,-0.9564268319230034,fire
-20.5554035781011,-33.9196198629083,not fire
-8.592947971760175,-16.99464006504489,not fire
3.9765876092562706,-0.3274805158928732,fire
9.948667301514424,-14.380587123033251,fire
-41.3418616975406,-28.07394522511084,not fire
-48.62039615237212,-16.420438370034024,not fire
-51.44771618562322,-23.758397702745143,not fire
-54.499834565162935,-37.73653340732755,not fire
-54.28684699611196,-37.30523982382636,not fire
-49.53815952506271,-18.01696124597909,not fire
-35.057047309711315,10.543596219621119,not fire
-30.64946411780116,-22.40151835920566,not fire
-21.187685537227047,-9.19327364026947,fire
-12.743899365364605,-3.893962520980754,not fire
-3.431356020403029,-0.21641320350252485,fire
6.46328437095511,-1.0819988968179073,fire
15.743201476250148,-0.4005219495348368,fire
25.07939253824085,-1.2511851981325797,fire
36.808125566396804,8.266417184316358,fire
45.80971056163914,5.0688737839578195,fire
36.92986142787439,3.086252217317403,not fire
49.230767355127455,6.868005648941067,fire
-48.96607346485401,-8.418329129469507,not fire
-50.53518953811165,-16.222703388925556,not fire
-48.248371552153074,-12.442005449194838,not fire
-35.8210905291045,-5.779451622756931,not fire
-23.258559927661295,5.565489322117761,fire
-12.630645450871015,7.112368652626627,fire
-11.431217650965039,0.6428964426705769,not fire
-0.13794784410677735,0.023740607126383553,fire
-44.23838848074764,-3.772768207932063,not fire
-44.90645557524847,-4.749472942691229,not fire
-33.24479867414991,-3.395370790124612,not fire
-25.83740499176283,-8.711066552099624,not fire
-15.063145578000185,-10.484545418694731,not fire
-29.19282417115508,2.294225069447615,not fire
-39.519316926776796,-18.987736359021564,not fire
-28.54318592281864,-11.6191333090269,not fire
-16.776206071509733,-1.8738826703976774,fire
-6.124143277656134,0.23119782580783158,fire
5.830748102141187,7.926608988907211,fire
11.372574668709888,-4.653783014627832,fire
23.775367203279917,-6.194704564859702,fire
27.244714164386252,-24.033525520710782,not fire
16.75585920670191,-16.856847621998575,not fire
23.28579146350656,-26.804438034744813,not fire
37.46801670317573,-9.112945735683935,fire
52.0599540867343,3.697867124293862,fire
64.23003424805783,6.655429899189565,fire
70.32874981633374,-19.59557053958536,fire
80.35927971605169,-19.122922391147803,fire
88.75844337858386,-26.518801878288045,fire
101.7474787387927,-14.543406226654414,fire
-41.31726489370837,20.326115166249302,not fire
-42.01826827277478,12.545830357794948,not fire
-42.838804655492595,5.702915322222514,not fire
-31.34126363289614,4.747467845615498,fire
-19.822029851304404,7.403657009208349,fire
-10.942506282212157,-2.2840157587326786,fire
-0.19877679508209853,0.5550737701532628,fire
-4.762510913250339,0.13726039023271133,not fire
9.015704051969402,7.138420976693636,fire
20.861015477969918,9.70907142951918,fire
31.032768769755037,2.0473547817694846,fire
25.526661146408916,4.013230499946284,not fire
37.14817254868733,-2.068346823579384,fire
47.01543940972921,-6.291983067350116,fire
42.12860663776356,-1.957615670729436,fire
37.18905715091117,-8.670122682669039,fire
52.68976786537773,4.298529826388267,fire
64.12446143572436,1.3183955499575835,fire
74.42789914517056,-6.3797158613935165,fire
84.05780301246688,-13.442186439631975,fire
96.70425466788204,-7.250131130074769,fire
108.63921033323325,-5.986931847018293,fire
120.52022240497416,-5.49009549105248,fire
129.73926882269322,-16.38893999961734,fire
140.93234384588024,-15.341725994491798,fire
147.46140280395824,-34.56791367174266,fire
156.6876927315886,-40.07429969563831,fire
170.83233031119013,-24.21765282313642,fire
184.96998848994818,-11.052894239643447,fire
126.45572869405625,-39.114202690830545,not fire
-45.817318408834815,-22.737919598593194,not fire
-53.648181606404705,-22.70533182960561,not fire
-57.7590527069566,-39.08305225129034,not fire
-54.19772261283994,-26.02609322658752,not fire
-41.41575566840245,-9.253126976129149,not fire
-30.89239286188285,-5.196784945876152,fire
-23.981457903322795,-9.544856109030192,not fire
-26.750108723476846,-10.167068253626505,not fire
-48.52768872755098,-11.09610249194101,not fire
-49.96371976169654,-17.44741878505535,not fire
-48.35275679091825,-12.066328250981401,not fire
-49.46415514654677,-16.495940650055083,not fire
-40.38854587024083,-19.320960053283297,not fire
-54.17879845750953,-33.722289025782615,not fire
-52.86737452465978,-23.37666717832259,not fire
-53.39511733282531,-28.438859385654442,not fire
-37.4236322958368,1.9268696802670877,not fire
-24.48474274671685,16.96462423069666,fire
-13.930800073593831,19.272252659260534,fire
-5.532700631824406,11.792652981828793,fire
-1.1723945579061714,-14.31152272943121,fire
11.652280642030581,8.974266783817562,fire
-8.095761213271423,8.176110168022204,not fire
-20.733374231381926,4.926032725976343,not fire
-37.82543188710378,-3.8184857126395904,not fire
-50.5514406349287,-26.098256262129663,not fire
-33.14447794741794,12.473023557171318,not fire
-24.088206623416248,4.607331499154287,fire
-39.59820268828962,16.795619155494094,not fire
-50.28379258348133,-25.93585672133431,not fire
-50.99265355611009,-25.98715015977415,not fire
-50.025261613175914,-11.503042617676586,not fire
-50.71532901118207,-14.072456821412798,not fire
-52.71287069700364,-23.35074585118207,not fire
-37.6660914305018,4.579094005628236,not fire
-35.159003705905,6.023449353047074,not fire
-23.961858659109975,13.50271123929541,fire
-19.219704088121926,22.12473027413936,fire
-43.8719320502374,11.395881569902233,not fire
-36.17351170879889,7.687077530656974,not fire
-22.115950755742677,28.994160509731447,fire
-11.260526929432354,29.64307079720667,fire
-5.407619684606418,13.992143762851928,fire
-41.19667309522651,11.799380019137102,not fire
-49.33973995861434,-20.05903672156699,not fire
-40.80315764984248,-22.189790501471922,not fire
-51.1197158408372,-29.746520680404963,not fire
-47.238052203372376,-8.214614082233226,not fire
-45.47353462849838,-0.8227192356610533,not fire
-46.09581500167274,-5.246308070576342,not fire
-47.55991421044604,-11.519134546305953,not fire
-29.58178276712001,15.167220931662795,fire
-39.87812049047009,18.81630154342823,not fire
-42.08195012433995,6.489466404788093,not fire
-30.873129500119727,5.890782137270953,fire
-21.52221386565885,3.4017284233302356,fire
-10.150593844961072,9.800070196255911,fire
1.1792252133784131,14.999976661353008,fire
15.543745840259923,31.033333940317217,fire
-5.603180759440175,27.25713552955268,fire
-36.41534971788521,23.07223684289897,not fire
-47.38889531842832,1.1199915023099636,not fire
-30.942040915540403,22.840145490163177,fire
-22.49148868323829,12.946902059245582,fire
-10.878050436887852,12.939850093780626,fire
2.480873388153036,23.890657674543434,fire
-1.7711110804886678,20.362362086277123,fire
-11.927027187209326,21.776372047548882,fire
-38.47971268662073,20.664224208869488,fire
-37.737408721463275,24.67319136149757,fire
-40.42464663843033,15.054760249540813,not fire
-41.67931494978149,9.565187228776225,not fire
-25.082893064021853,28.407600500059598,fire
-35.3959020790582,25.726107887122136,fire
-28.636484578321177,34.154860831767586,fire
-17.43953869180058,28.362497740319174,fire
-13.757321689865867,-7.4625334858532115,fire
-4.220321875522042,-7.677089850118042,fire
7.268281108205593,1.5580018906444983,fire
19.576019944549888,9.529671235942633,fire
32.62979915993083,16.270314995440692,fire
49.01900881592231,36.420272752606216,fire
57.07103759600202,17.514149576405675,fire
62.486409249199575,-6.121617359368661,fire
8.550204998133433,-5.901774629874427,not fire
-33.094234378091045,2.488576541980971,not fire
-28.757754963829033,7.871981931055784,not fire
-22.37179485401551,-15.125523496847881,not fire
-7.287052353343789,11.817003684204405,fire
3.56284280567022,9.593519312831042,fire
15.459352300290167,11.415475332689008,fire
27.224495454566096,11.1715081205936,fire
-41.83233984985436,14.958674157926056,not fire
-22.896859116994417,39.23207120905888,fire
-9.089589937274873,40.07197367540007,fire
3.4036297944953575,37.18192296058239,fire
10.343256926623285,25.134412305494553,fire
-41.32004502481324,9.319124330482394,not fire
-43.15868513790451,1.7593132702012308,not fire
-27.387241340134338,16.915381478164342,fire
-12.18649858301713,29.331764622901897,fire
-8.632799551453031,29.01672857714992,fire
7.6549275276920845,39.49302744073681,fire
1.699760879426008,45.67123975550849,fire
1.2461755870629099,29.23708350142047,fire
14.080944882763362,26.986446252502425,fire
7.640026724108489,14.416157580549488,fire
23.412052215033302,24.19953854771564,fire
40.52840467440107,40.39134642158063,fire
51.514686512632906,27.964105187109293,fire
52.896355222466916,-8.132901333683284,fire
62.409207304386705,-20.38242579670701,fire
74.70080611054877,-12.927238728316711,fire
89.16622037074633,2.188165660230433,fire
102.82801735731661,10.373742989217403,fire
115.2152063031936,13.519054101626478,fire
126.89565493910723,11.349426022432233,fire
138.16874215931549,11.819248357285389,fire
147.34061418588084,-3.7801294773129603,fire
116.37129855205674,-20.11156558388133,not fire
98.06936895785472,-15.435688056027777,fire
112.50649107177912,-6.593733479974279,fire
121.96649203745794,-15.505634795017361,fire
-55.13254267199287,-34.06471140531411,not fire
-38.89928718234128,-0.8710110229994218,not fire
-30.044131410614618,-4.110419313250683,fire
-28.76230179324599,-3.152316644759614,not fire
-46.40534125131068,2.770900694250923,not fire
-47.19047054491231,-7.731958422834923,not fire
-33.81745349610177,8.290662174763277,fire
-27.913285224452185,-13.541763574529451,fire
-18.488496354769612,-8.873192249911499,fire
-48.192520766137,-13.002944440552481,not fire
-36.16142082505165,-2.6403169960561823,not fire
-25.915911247084654,-0.04776113570297574,fire
-13.247422855207091,19.4072511647405,fire
-9.162227118412822,-9.66197449290539,fire
4.377836263835033,14.986933128009861,fire
19.359939587011112,37.93010671263756,fire
22.992503542013516,22.97877855859509,fire
37.28879848828243,26.261635199162107,fire
41.485689639717414,11.295027965274258,fire
38.67110440512614,-5.329411181277306,not fire
56.21077787391261,22.81849520859648,fire
61.49837982978822,-5.326232496284219,fire
72.65548877284986,-0.4565564117533987,fire
-23.0615709457466,2.2760282646410213,not fire
-13.069498881259966,-4.039685240478398,not fire
-2.2881854615270543,2.2726785241502263,fire
-50.14799282303325,-33.68106080437933,not fire
-50.68579717687769,-32.19398415228025,not fire
-35.230711441400224,9.545730962914053,not fire
-36.99381229148624,-5.085634505023103,not fire
